insert into user values (90000001, '三宅', '成子', '1978/04/15', 00000002, 4, 3,  'r.arihara.sys20', 'tZrYlHcwBalz4ZOCgJfB6rYOQpQldPLJ', '022280ae81d6365fbaf888399fc438e82df4fe7b9053563a7326f0c405c58b7a', false);
insert into user values (90000002, '大塚', '朋美', '1978/08/28', 00000002, 4, 4,  'r.arihara.sys20', '5tahYG0pZPmoUwKCEU7aU5GNNlF08FBb', '63041ad480f6b23719c4639843a0436bcb898baaa4d9faed30aeab7ef1e05cc8', false);
insert into user values (90000003, '溝口', '一馬', '1973/05/05', 00000002, 4, 5,  'r.arihara.sys20', '2tzPeBNi32llF06CPY4cIJ2mKqBa5Xbu', '10f695bd7bade6931389fce0fc22c8c15945d1c49f26910dc7b1e4c28e769c3c', false);
insert into user values (90000004, '阿部', '聖誉', '1992/04/11', 00000002, 4, 6,  'r.arihara.sys20', 'axy6CsixR3sEPtGaatmNoPtkNIbWdG2u', '78997aa3b3a7f597594e8d0746fcca041e5eb70e5317c367eb115be0df90daca', false);
insert into user values (90000005, '阿部', '聖弘', '1985/05/11', 00000002, 4, 7,  'r.arihara.sys20', 'Z2XuZ9dZfD0xOlmJ5JRKuchf00nEJ1rD', '4fcdf346b739ef30bdbd2d4c075a587a772f4a1bc7c80df32d4c62a5da6a1d2c', false);
insert into user values (90000006, '手塚', '宏季', '1970/05/03',90000001 , 5, 3,  'r.arihara.sys20', 'fqNlE2uRTwWZ3ieP61J2oan5y8NuZEBA', 'ccdb33f03d1a9c1f9abfb99d3a491fdab436d68e204fc29426836169288508d1', false);
insert into user values (90000106, '大森', '満生', '1982/09/19',90000006 , 6, 3,  'r.arihara.sys20', 'UsbYAMGOQhL26dQW4DbMmwJyXzfliZLf', 'a1c592d8c8efd31873910a489f6034b9dcf0b8f18a2917be094192fa6765d6d9', false);
insert into user values (90000107, '飯島', '聖誉', '1989/06/04',90000006 , 6, 3,  'r.arihara.sys20', 'ByZqL9pZLgHRjz92zFF4qj76w7P44ooc', '7311b361b28992cb17679d6faef17f3a08931bc3935cfc7717316e4b27096e38', false);
insert into user values (90000108, '大内', '家継', '1978/07/11',90000006 , 6, 3,  'r.arihara.sys20', 'WXyRHzUBs3UPhLxEH8HrNpB3vUjBmUBQ', '566aa9545bcc201fe84b358e1ad1d1660924b75faea596dbbe995f7ff6bb7016', false);
insert into user values (90000109, '坂口', '希和', '1981/04/07',90000006 , 6, 3,  'r.arihara.sys20', 'H6BpINAT9SfjsJRCIBH7TfEuHmswcA8I', 'c522b9e70b413fdea749df8e124a63d6673e5b08574e0084044a0cc1b6900cbf', false);
insert into user values (90000110, '丹羽', '菊江', '1984/12/30',90000006 , 6, 3,  'r.arihara.sys20', 'aKDfNvGv8Sq6ie9jjzMvUJicXv9GBLEn', '091fca9c05fd7b00899efc972360dbde2c893f0dd8ccc7c3b1d1ca663475c573', false);
